id,question,example_code,options,estimated_time,mechanics,level,correct_answer,feedback,topic,resource_link
1,"When this code is executed, what is the value of myVariable?","let myVariable: String
myVariable = ""awesome""",""""", nil, awesome, This code will not compile",20,MultipleChoice,Level-1,awesome,,"Constants, Variables",https://developer.apple.com/library/content/documentation/Swift/Conceptual/Swift_Programming_Language/TheBasics.html#//apple_ref/doc/uid/TP40014097-CH5-ID309
2,"Once this code is executed, how many items will numbers contain?","let numbers = [1, 2, 3]
numbers += [4]",,20,BlankField,Level-1,3,,"Constants, Variables",https://developer.apple.com/library/content/documentation/Swift/Conceptual/Swift_Programming_Language/TheBasics.html#//apple_ref/doc/uid/TP40014097-CH5-ID309
3,"Order the following code so that it
makes sense and is compiled 
successfully.",,"let mySize = Size(), print(mySize.height), struct Size {, var height = 10",20,Sort,Level-1,"[""struct Size {"",""   var height = 10 }
"", ""let mySize = Size()"", ""print(mySize.height)
""]",,Structs,https://developer.apple.com/library/content/documentation/Swift/Conceptual/Swift_Programming_Language/ClassesAndStructures.html#//apple_ref/doc/uid/TP40014097-CH13-ID82
4,"What output will be produced 
by the code below?","let userLoggedIn: Bool? = false
if !userLoggedIn! {
   print(""Message one"")
} else { 
    print(""Message two"")
}","Message one, Message two, Nothing will be output, This code will not compile
",20,MultipleChoice,Level-1,Message one,,Basic Operators,https://developer.apple.com/library/content/documentation/Swift/Conceptual/Swift_Programming_Language/BasicOperators.html#//apple_ref/doc/uid/TP40014097-CH6-ID60
5,"Your goal is to make the expression number == numberFromList 
true. What is yourAnswer value?","var list = [1,3,5,7,9,11]
var number = 9
list.remove(at: 3)
var numberFromList = 
           list[yourAnswer]",,20,BlankField,Level-1,3,"In this challenge you had to figure out which would be number 9’s index after the original array was modified. In Swift, the index of an array’s first element is 0, not 1. At first, as the number 9 was in the fifth position, its index was 4. However, on the third line, we removed the element whose index was 3 (which means we removed the item located in the forth position: the number 7). That way, our new array list is [1,3,5,9,11]. Now, the number 9 is in the forth position and its new index is 3.",Collection types,https://developer.apple.com/library/content/documentation/Swift/Conceptual/Swift_Programming_Language/CollectionTypes.html#//apple_ref/doc/uid/TP40014097-CH8-ID105
6,"The code below contains an error. Which line will Xcode highlight 
and what message will appear?","1 func count(sentence: String) { 
2     var size = sentence.characters.count
3 } 
4
5 func categorizeSentece (sentence: String) {
6     var size = 
          count(sentence: sentence)
7     if size > 10 {
8         print (""Long sentence"")
9 }
10 }","7: binary operator '>' cannot be applied to operrands of type '()' and 'Int',  6: use of unresolved identifier, 7: incomplete expression, 10: extraneous ‘}’ at top level
",20,MultipleChoice,Level-1,7: binary operator '>' cannot be applied to operrands of type '()' and 'Int',,"Functions, return, control flow - Conditional Statements (If)",https://developer.apple.com/library/content/documentation/Swift/Conceptual/Swift_Programming_Language/Functions.html#//apple_ref/doc/uid/TP40014097-CH10-ID158
7,Below we have 3 functions. Find out whether any of them contains an error and drag each function tag into the proper field. \n,"func printEvenNumbers(_ n: Int) {
    var n = n
    for number in 0...n {
        if number % 2 == 0 {
            print(number)
        }
    }
}

func sevenTimesTable(n: Double) -> String {

    var number = n
    let multiplier = 7
    var result = number * multiplier

    return ""\(number) * 7 = \(result)""
}


func partsOfDay(time: Int) -> String {
    var time = 0
    var periodName = """"

    switch time {
    case 5..<17:
        periodName = ""morning or afternoon""
     case 17..<5:
        periodName = ""evening or night""
    }
    return periodName
}","checkCountry, sevenTimesTable, partsOfDay
",20,DragAndDrop,Level-1,", sevenTimesTable: error, partsOfDay: error",,,https://developer.apple.com/library/content/documentation/Swift/Conceptual/Swift_Programming_Language/Functions.html#//apple_ref/doc/uid/TP40014097-CH10-ID158
8,"Sort the code below so it will build. 
Please organize variables in alphabetic 
order.",,"func sayName() {
        self.age = ag
    init(nm: String, ag: Int) {
    }, class Person {
        print(name)
    var age = 0
    var name = """"
        self.name = nm
    }
}, var liz = Person(nm: ""Liz"", ag: 27), var ben = Person(nm: ""Ben"", ag: 8)",20,Sort,Level-1,"class Person {
    var age = 0
    var name = """"
    
    func sayName() {
        print(name)
    }
    
    init(nm: String, ag: Int) {
        self.age = ag
        self.name = nm
    }
}


var liz = Person(nm: ""Liz"", ag: 27)
var ben = Person(nm: ""Ben"", ag: 8)
",,"Class, property, method, self property, initialization",https://developer.apple.com/library/content/documentation/Swift/Conceptual/Swift_Programming_Language/ClassesAndStructures.html#//apple_ref/doc/uid/TP40014097-CH13-ID82
9,"Choose a name to the function below according 
to what it is doing.","func chooseName() {

    var currentLevel = 0
    var finalLevel = 5
    
    var levelPassed: Bool = GameLevel.didPassLevel
    //GameLevel is a class not shown in this code. It has a member didPassLevel that indicates whether the user has succeeded in the current level
    
    while (currentLevel <= finalLevel) {
        if levelPassed == false {
            print(""Oh no! Try again!"")
        } else if currentLevel == 5 {
            print(""You won the game!"")
        } else {
            print(""Play next level!"")
            currentLevel += 1 } } }","checkCurrentLevel, sendLevelMessage, finalLevelMessage, checkIfGameIsOver",20,MultipleChoice,Level-1,sendLevelMessage,,"Function, control flow (while loops), control flow (conditional statements)",https://developer.apple.com/library/content/documentation/Swift/Conceptual/Swift_Programming_Language/Functions.html#//apple_ref/doc/uid/TP40014097-CH10-ID158
10,"In this challenge, we will give movement instructions to Manny, the robot. You will have to figure out where it is located after the commands have been executed.
Below we have the image of part of a grid. Each square can be referred to through a tuple (x,y).
Manny is placed at the grid. Right now, var robotPosition = (x: 3, y: 1)
The robot responds to only 3 commands:
R: turn right
L: turn left
A: advance
Notice: The robot only changes its current square with the command A!
We will give the following instructions to Manny: RALAALAAR
Which option is correct regarding the robot's final position?

",,"robotPosition.y = 2, robotPosition.x = 3, robotPosition.x = 2, robotPosition.y = 3",20,MultipleChoice,Level-1,"robotPosition.y = 3
",,Collection,https://developer.apple.com/library/content/documentation/Swift/Conceptual/Swift_Programming_Language/CollectionTypes.html#//apple_ref/doc/uid/TP40014097-CH8-ID105
